t_history,v_ref_history,v_history,acc_history
7.800000000000001,8.820897880090016,8.806196730065569,0.1389944559648626
7.9,8.905440227259945,8.826478123787085,0.2028139372151685
8.0,9.064905915593618,8.85891404911968,0.3243592533259374
8.1,9.22139856190169,8.904692825042442,0.45778775922762804
8.200000000000001,9.429276847783822,8.966454866614992,0.6176204157254972
8.3,9.698772929387054,9.047880751191334,0.814258845763419
8.4,10.025687280173784,9.152489371884323,1.0460862069298855
8.5,10.395292314339233,9.282424766575355,1.2993539469103155
8.6,10.787940785580389,9.437691006259378,1.5526623968402333
8.700000000000001,11.178340610621362,9.616737409308556,1.7904640304917763
8.8,11.502845485757948,9.810842709755164,1.9410530044660845
8.9,11.788604488186191,10.012781771616957,2.0193906186179333
9.0,11.91567618731861,10.207509401890265,1.9472763027330728
9.1,11.888345892722803,10.379168546520228,1.7165914462996312
9.200000000000001,11.628420573176523,10.506049406496436,1.2688085997620675
9.3,11.317577732061064,10.579683532107799,0.7363412561136329
9.4,10.85519297125519,10.590961545668607,0.11278013560809086
9.5,10.412613780713851,10.542662281155172,-0.4829926451343596
9.600000000000001,10.021892554132373,10.444631390946386,-0.9803089020878701
9.700000000000001,9.68674261845978,10.310058016057642,-1.3457337488874401
9.8,9.33143447788758,10.146286645061483,-1.637713709961588
9.9,9.119311087594225,9.968364287830617,-1.779223572308652
10.0,8.936838798184917,9.785382434959612,-1.8298185287100495
10.100000000000001,8.835982071373946,9.607842390546413,-1.7754004441319893
10.200000000000001,8.67786334563591,9.435951254199082,-1.7189113634732962
10.3,8.59657364818468,9.27437892399962,-1.6157233019946204
10.4,8.519546427916149,9.124876553647525,-1.4950237035209568
10.5,8.447479486069557,8.986953898245428,-1.3792265540209598
10.600000000000001,8.42690995526435,8.862763279840674,-1.2419061840475365
10.700000000000001,8.398086688932283,8.752762357039385,-1.100009228012894
10.8,8.320284963721372,8.652491560183632,-1.0027079685575302
10.9,8.295402375279844,8.561704494454277,-0.9078706572935573
11.0,8.310621988125975,8.482973989929974,-0.7873050452430306
11.100000000000001,8.27280297489647,8.41346861397875,-0.6950537595122341
11.200000000000001,8.23464703562562,8.350478299155307,-0.6299031482344333
11.3,8.239466826797265,8.294988307133346,-0.5548999202196114
11.4,8.239221386686655,8.247590922674075,-0.4739738445927202
11.5,8.195880092677246,8.204522015048552,-0.4306890762552342
11.600000000000001,8.19683363925333,8.166561562368624,-0.3796045267992696
11.700000000000001,8.19835722485295,8.133727793924935,-0.3283376844368888
11.8,8.198335608822633,8.105589998645794,-0.2813779527914164
11.9,8.197755402892287,8.081616267868288,-0.23973730777505864
12.0,8.197340638987146,8.061310104369507,-0.2030616349878045
12.100000000000001,8.197313682522603,8.044235208457977,-0.17074895911530064
12.200000000000001,8.19747369321247,8.029997388858728,-0.14237819599249235
12.3,8.197489591121968,8.01721528559649,-0.12782103262237854
12.4,8.232927852565314,8.00828503464284,-0.08930250953649477
12.5,8.223469801856194,8.001261181663844,-0.07023852978996104
12.600000000000001,8.210984306111582,7.995038858608713,-0.06222323055131085
12.700000000000001,8.200018335861342,7.98921814663306,-0.058207119756531256
12.8,8.19087270637457,7.982723244312941,-0.06494902320119422
12.9,8.219301182945449,7.978378969110996,-0.0434427520194447
13.0,8.205176095483885,7.9746930932917115,-0.03685875819284945
13.100000000000001,8.190897200022249,7.97101729428071,-0.03675799011001857
13.200000000000001,8.18099310378839,7.966347757198296,-0.046695370824139104
13.3,8.210780794271995,7.963685946156714,-0.026618110415824958
13.4,8.2006670171627,7.961769974385721,-0.019159717709925417
13.5,8.191612682647582,7.959075186744721,-0.026947876409991522
13.600000000000001,8.222459421772482,7.958382616187743,-0.006925705569784668
13.700000000000001,8.21348420452485,7.958348708216146,-0.0003390797159710246
13.8,8.204475869954234,7.9584179629489675,0.0006925473282137773
13.9,8.198666828265155,7.957594565424123,-0.00823397524844438
14.0,8.230636068281123,7.9588784150299015,0.012838496057781867
14.100000000000001,8.219899231479628,7.9609692100036265,0.020907949737249965
14.200000000000001,8.206936290091488,7.962244825013783,0.012756150101566277
14.3,8.231649163275769,7.965565589986224,0.033207649724417365
14.4,8.213280476655521,7.9696406731080485,0.040750831218247185
14.5,8.193708762103673,7.9740658742153085,0.044252011072600794
14.600000000000001,8.177408148741046,7.977924378730912,0.03858504515604011
14.700000000000001,8.199828200105305,7.984535854949687,0.06611476218775181
14.8,8.180703197442575,7.992834890630634,0.08299035680947497
14.9,8.161656546840218,8.002466159705916,0.09631269075281068
15.0,8.146801762994512,8.012306592773601,0.09840433067685694
15.100000000000001,8.170539358619836,8.02551575427107,0.13209161497468358
15.200000000000001,8.154073498229087,8.04076703841346,0.1525128414238992
15.3,8.138407989482355,8.057339863668648,0.1657282525518866
15.4,8.127472987445715,8.074941420688448,0.17601557019800396
15.5,8.121785891624208,8.092027737224985,0.17086316536536117
15.600000000000001,8.155688743226179,8.111379436919023,0.1935169969403887
15.700000000000001,8.155661012266378,8.131300808100855,0.1992137118183166
15.8,8.165018063106466,8.150927253435816,0.19626445334959897
15.9,8.192112317445423,8.17022455515424,0.19297301718424364
16.0,8.244229593697819,8.18991992816174,0.19695373007499484
16.1,8.331860351668052,8.211688247552004,0.21768319390265845
16.2,8.471771069010508,8.23864493525315,0.26956687701145654
16.3,8.691629095215255,8.277346730836474,0.3870179558332296
16.400000000000002,9.024721190020166,8.335362887077993,0.5801615624151992
16.5,9.589020671877774,8.42939671417856,0.9403382710056718
16.6,10.4747334923567,8.584711682984588,1.553149688060273
16.7,11.8328940087214,8.838070765183678,2.5335908219908987
16.8,13.85830069335984,9.13807068436468,2.999999191810005
16.900000000000002,15.039890359046503,9.438070639858523,2.999999554938441
17.0,12.69335918025088,9.723496891117502,2.8542625125897985
17.1,10.918114364031357,9.85599602362547,1.3249913250796794
17.2,9.94916930352743,9.844953155913498,-0.11042867711972804
17.3,9.171076684447963,9.720762593824142,-1.2419056208935473
17.400000000000002,8.776627157483965,9.531699510696747,-1.8906308312739526
17.5,8.507911419787803,9.312744600349207,-2.1895491034754
17.6,8.307658524166612,9.086376970123233,-2.2636763022597393
17.7,8.150714696731521,8.866114648940078,-2.2026232118315505
17.8,8.024821152708332,8.659022019483485,-2.070926294565936
17.900000000000002,7.9600222884919045,8.47139073270432,-1.876312867791654
18.0,7.864936248090405,8.301828241360875,-1.6956249134344574
18.1,7.8507470536383215,8.153404374237978,-1.4842386712289795
18.2,7.799798647993857,8.023338211484708,-1.3006616275327048
18.3,7.781408886350421,7.910854099580487,-1.124841119042216
18.400000000000002,7.760436433528001,7.814286193470064,-0.9656790611042254
18.5,7.73741602085991,7.731802929292561,-0.824832641775032
18.6,7.714326867977011,7.6609219733151415,-0.7088095597741955
18.7,7.716822362959123,7.6020093894498935,-0.5891258386524783
18.8,7.690287304567475,7.552196257695022,-0.49813131754871165
18.900000000000002,7.688598516490607,7.511956521926899,-0.4023973576812381
19.0,7.661939058953766,7.4788493580399455,-0.33107163886953117
19.1,7.660851199867596,7.452780964187308,-0.26068393852636973
19.200000000000003,7.659437636840469,7.433345281040422,-0.19435683146886618
19.3,7.656504422957017,7.4199833954583205,-0.13361885582101252
19.400000000000002,7.653010746320772,7.412160676448381,-0.0782271900993976
19.5,7.649897840665749,7.409428924323091,-0.02731752125289688
19.6,7.647978461069227,7.412591287310551,0.03162362987460199
19.700000000000003,7.6275733833564745,7.419636892250221,0.07045604939669659
19.8,7.634464964301538,7.430917268740877,0.11280376490655897
19.900000000000002,7.645586467398141,7.446514244496097,0.15596975755219944
20.0,7.6594104332699455,7.466277849396307,0.1976360490020994
20.1,7.6769673503590585,7.489990796970672,0.23712947574365728
20.200000000000003,7.700065034095419,7.517488599237476,0.27497802266803717
20.3,7.731033061715536,7.548747123446727,0.31258524209250993
20.400000000000002,7.772963794549949,7.583966737776948,0.3521961433022085
20.5,7.830628634349943,7.625071331419823,0.4110459364287493
20.6,7.890672180263416,7.671038398981708,0.45967067561885244
20.700000000000003,8.005508719368414,7.724311009379191,0.5327261039748237
20.8,8.16018232274807,7.787773046011801,0.6346203663261036
20.900000000000002,8.3566452991277,7.865863286947678,0.7809024093587738
21.0,8.57934249237834,7.959612838084235,0.9374955113655687
21.1,8.877199331198321,8.074548625459158,1.1493578737492385
21.200000000000003,9.213344064755418,8.212516974117701,1.3796834865854208
21.3,9.626722964060004,8.379044750310056,1.665277761923548
21.400000000000002,10.076807077729441,8.57675222448253,1.977074741724735
